age,education,marital_status,occupation,bloodline,gender,hours_per_week,income_bracket,magical_artifact_possession_score,magical_artifact_power_level,number_of_spells_mastered,gringotts_approved_loan
29,Specialism in a magical field,Never-married,Magical Shop Owner,Half-blood,Female,40.0,<=50 Galleons,22640,35743.0,14,No
34,Hogwarts Graduate,Divorced,Potioneer,Half-blood,Male,50.0,>50 Galleons,57639,68047.20000000001,40,No
30,Hogwarts Graduate,Never-married,Hogwarts Professor,Half-blood,Male,40.0,<=50 Galleons,34187,46941.600000000006,21,No
64,Aurors Specialism,Widowed,Goblin Liaison Officer,Pureblood,Male,,>50 Galleons,57150,66995.0,35,Yes
25,Specialism in a magical field,Never-married,Potioneer,Pureblood,Male,40.0,<=50 Galleons,81341,91942.8,18,Yes
66,Aurors Specialism,Married,Dark Forces Defense Consultant,Half-blood,Male,8.0,>50 Galleons,97987,96417.6,31,Yes
52,Dropout,Married,Magical Shop Owner,Half-blood,Male,60.0,<=50 Galleons,61403,72232.4,15,No
41,Hogwarts Graduate,Divorced,Ministry of Magic Official,Half-blood,Female,52.0,<=50 Galleons,-2436,18447.2,26,No
47,Dropout,Widowed,Ministry of Magic Official,Half-blood,Male,,<=50 Galleons,66548,82292.4,27,No
47,Dropout,Married,Hogwarts Professor,Half-blood,Male,48.0,>50 Galleons,38053,49202.4,43,No
49,Aurors Specialism,Married,Hogwarts Professor,Half-blood,Male,,>50 Galleons,35767,56791.600000000006,34,Yes
19,Specialism in a magical field,Never-married,Other,Half-blood,Female,20.0,<=50 Galleons,69020,71880.0,27,No
25,Specialism in a magical field,Never-married,Wandlore Assistant,Pureblood,Female,30.0,<=50 Galleons,81049,86861.20000000001,25,Yes
19,Hogwarts Graduate,Never-married,Magical Shop Owner,Veiled Heritage,Female,15.0,<=50 Galleons,2910,18410.0,17,No
43,Specialism in a magical field,Married,Wandlore Assistant,Half-blood,Male,40.0,>50 Galleons,90893,97160.40000000001,34,Yes
31,Hogwarts Graduate,Married,Magical Transportation,Half-blood,Female,36.0,<=50 Galleons,58731,62444.8,15,No
22,Specialism in a magical field,Never-married,Hogwarts Professor,Half-blood,Male,20.0,<=50 Galleons,78524,87034.20000000001,16,No
26,Hogwarts Graduate,Divorced,Other,Half-blood,Non-binary,40.0,<=50 Galleons,39539,58936.2,20,No
21,Specialism in a magical field,Never-married,Other,Half-blood,Male,40.0,<=50 Galleons,34886,56762.8,23,No
34,Aurors Specialism,Married,Magical Intelligence Agent,Half-blood,Male,55.0,>50 Galleons,37667,52681.600000000006,39,Yes
20,Specialism in a magical field,Never-married,Gringotts Bank,Pureblood,Female,20.0,<=50 Galleons,92049,91599.2,25,Yes
19,Specialism in a magical field,Never-married,Magical Shop Owner,Half-blood,Male,66.0,<=50 Galleons,79217,79219.6,28,No
57,Hogwarts Graduate,Widowed,Wandmaker,Half-blood,Non-binary,57.0,<=50 Galleons,45404,53082.200000000004,13,No
35,Specialism in a magical field,Married,Goblin Liaison Officer,Half-blood,Male,40.0,<=50 Galleons,54380,69790.0,19,No
36,Hogwarts Graduate,Never-married,Other,Half-blood,Female,40.0,<=50 Galleons,11188,26532.4,14,No
55,Specialism in a magical field,Divorced,Other,Half-blood,Female,52.0,<=50 Galleons,51382,59775.600000000006,24,No
52,Specialism in a magical field,Married,Other,Half-blood,Male,,>50 Galleons,47503,59989.4,36,Yes
25,Hogwarts Graduate,Never-married,Magical Shop Owner,Half-blood,Male,65.0,<=50 Galleons,29432,44365.600000000006,22,No
25,Specialism in a magical field,Married,Gringotts Bank,Pureblood,Male,40.0,<=50 Galleons,53290,63357.0,25,Yes
33,Specialism in a magical field,Married,Hogwarts Professor,Half-blood,Male,55.0,>50 Galleons,76980,79951.0,45,Yes
76,Aurors Specialism,Married,Hogwarts Professor,Half-blood,Male,10.0,<=50 Galleons,19597,42297.6,13,Yes
57,Charms Scholar,Married,Wandmaker,Muggle born,Male,50.0,>50 Galleons,68117,81618.6,42,No
29,Hogwarts Graduate,Married,Potioneer,Half-blood,Male,40.0,<=50 Galleons,21834,33558.2,24,No
37,Hogwarts Graduate,Married,Gringotts Bank,Half-blood,Male,40.0,<=50 Galleons,11499,27952.2,25,No
31,Hogwarts Graduate,Divorced,Ministry of Magic Official,Half-blood,Female,,<=50 Galleons,29539,44124.2,13,No
48,Dropout,Married,Hogwarts Professor,Half-blood,Male,50.0,>50 Galleons,67137,70065.6,33,No
45,Specialism in a magical field,Married,Hogwarts Professor,Half-blood,Male,40.0,>50 Galleons,63282,74939.6,31,No
33,Aurors Specialism,Married,Potioneer,Half-blood,Male,45.0,<=50 Galleons,19381,32493.800000000003,18,Yes
38,Specialism in a magical field,Divorced,Wandmaker,Half-blood,Female,40.0,<=50 Galleons,4187,24732.6,18,No
20,Hogwarts Graduate,Never-married,Potioneer,Half-blood,Female,23.0,<=50 Galleons,7080,31894.0,25,No
46,Hogwarts Graduate,Widowed,Ministry of Magic Official,Half-blood,Female,40.0,<=50 Galleons,11920,30018.0,23,No
24,Hogwarts Graduate,Never-married,Other,Half-blood,Male,40.0,<=50 Galleons,22234,33635.2,28,No
68,Hogwarts Graduate,Widowed,Gringotts Bank,Half-blood,Female,16.0,<=50 Galleons,-6488,10825.599999999999,20,No
39,Aurors Specialism,Divorced,Gringotts Bank,Half-blood,Female,40.0,>50 Galleons,42780,57952.0,36,Yes
47,Specialism in a magical field,Never-married,Gringotts Bank,Half-blood,Female,40.0,<=50 Galleons,11805,29869.0,16,No
43,Specialism in a magical field,Married,Wandmaker,Half-blood,Female,50.0,>50 Galleons,40202,56950.600000000006,36,Yes
53,Aurors Specialism,Married,Auror,Half-blood,Male,40.0,>50 Galleons,72400,85084.0,30,Yes
24,Specialism in a magical field,Never-married,Magical Shop Owner,Half-blood,Female,45.0,<=50 Galleons,23818,37272.4,26,No
23,Specialism in a magical field,Never-married,Other,Half-blood,Female,40.0,<=50 Galleons,90204,98869.2,24,No
38,Hogwarts Graduate,Divorced,Magical Shop Owner,Half-blood,Female,40.0,<=50 Galleons,48581,57999.8,23,No
30,Aurors Specialism,Never-married,Wandlore Assistant,Pureblood,Male,40.0,<=50 Galleons,13569,38269.2,26,Yes
23,Hogwarts Graduate,Never-married,Other,Muggle born,Female,40.0,<=50 Galleons,5995,20048.0,13,No
40,Aurors Specialism,Married,Auror,Half-blood,Female,40.0,>50 Galleons,67170,79802.0,38,Yes
62,Aurors Specialism,Married,Auror,Half-blood,Male,50.0,<=50 Galleons,39951,59854.8,21,Yes
53,Specialism in a magical field,Divorced,Hogwarts Professor,Half-blood,Female,40.0,<=50 Galleons,2658,27743.4,15,No
40,Hogwarts Graduate,Married,Other,Half-blood,Male,30.0,<=50 Galleons,12299,38363.2,17,No
49,Specialism in a magical field,Divorced,Magical Shop Owner,Pureblood,Female,40.0,<=50 Galleons,44926,64230.8,20,Yes
45,Specialism in a magical field,Never-married,Magical Shop Owner,Half-blood,Female,32.0,<=50 Galleons,29607,50679.600000000006,22,No
59,Hogwarts Graduate,Widowed,Magical Shop Owner,Pureblood,Female,20.0,<=50 Galleons,39517,59173.600000000006,15,Yes
37,Hogwarts Graduate,Never-married,Hogwarts Professor,Half-blood,Male,,<=50 Galleons,85751,84803.8,28,No
44,Specialism in a magical field,Married,Potioneer,Half-blood,Male,45.0,<=50 Galleons,-1395,21557.0,27,No
26,Dropout,Married,Magical Shop Owner,Half-blood,Male,38.0,<=50 Galleons,63786,70143.8,22,No
63,Charms Scholar,Married,Magical Librarian,Half-blood,Male,35.0,>50 Galleons,86165,86230.0,44,No
51,Hogwarts Graduate,Married,Hogwarts Professor,Half-blood,Male,30.0,>50 Galleons,33556,45671.8,42,No
29,Hogwarts Graduate,Married,Potioneer,Half-blood,Non-binary,,<=50 Galleons,8284,32298.2,28,No
25,Hogwarts Graduate,Never-married,Magical Shop Owner,Half-blood,Male,30.0,<=50 Galleons,2653,25022.4,21,No
43,Aurors Specialism,Divorced,Magical Shop Owner,Half-blood,Male,60.0,<=50 Galleons,10836,26371.800000000003,23,Yes
39,Specialism in a magical field,Divorced,Potioneer,Half-blood,Female,,<=50 Galleons,37539,58614.2,13,No
37,Hogwarts Graduate,Married,Gringotts Bank,Half-blood,Female,30.0,>50 Galleons,40632,60162.600000000006,34,No
32,Aurors Specialism,Married,Auror,Half-blood,Male,40.0,<=50 Galleons,81458,92003.4,14,Yes
47,Hogwarts Graduate,Married,Hogwarts Professor,Half-blood,Male,,>50 Galleons,40713,58103.4,32,No
28,Aurors Specialism,Never-married,Hogwarts Professor,Half-blood,Male,42.0,<=50 Galleons,19213,45271.4,19,Yes
38,Hogwarts Graduate,Married,Gringotts Bank,Half-blood,Male,,>50 Galleons,83419,88237.2,38,Yes
19,Dropout,Never-married,Magical Shop Owner,Half-blood,Male,55.0,<=50 Galleons,74569,83867.20000000001,20,No
38,Hogwarts Graduate,Married,Ministry of Magic Official,Pureblood,Male,40.0,<=50 Galleons,7332,30005.6,23,Yes
47,Aurors Specialism,Never-married,Magical Librarian,Half-blood,Female,40.0,>50 Galleons,95095,103643.0,42,Yes
69,Dropout,Divorced,Auror,Half-blood,Female,16.0,<=50 Galleons,-833,21286.6,26,No
23,Specialism in a magical field,Never-married,Magical Shop Owner,Half-blood,Female,40.0,<=50 Galleons,33225,43223.0,14,No
81,Dropout,Widowed,Potioneer,Half-blood,Male,45.0,<=50 Galleons,7442,28105.6,25,No
21,Specialism in a magical field,Never-married,Potioneer,Half-blood,Female,38.0,<=50 Galleons,20969,38051.2,28,No
64,Specialism in a magical field,Divorced,Hogwarts Professor,Half-blood,Female,8.0,<=50 Galleons,83756,94462.8,13,No
37,Hogwarts Graduate,Married,Other,Half-blood,Male,40.0,<=50 Galleons,43056,59815.8,13,No
18,Hogwarts Graduate,Never-married,Magical Transportation,Half-blood,Male,4.0,<=50 Galleons,15019,29492.2,17,Yes
36,Hogwarts Graduate,Never-married,Other,Half-blood,Male,37.0,<=50 Galleons,24978,36624.4,20,No
21,Specialism in a magical field,Never-married,Magical Transportation,Muggle born,Female,40.0,<=50 Galleons,4649,29427.2,15,No
45,Hogwarts Graduate,Married,Magical Shop Owner,Half-blood,Male,52.0,>50 Galleons,91396,97646.8,31,No
25,Hogwarts Graduate,Never-married,Magical Transportation,Half-blood,Female,40.0,<=50 Galleons,65220,73527.0,17,No
44,Aurors Specialism,Married,Magical Intelligence Agent,Half-blood,Male,,>50 Galleons,71834,84808.20000000001,36,Yes
23,Dropout,Never-married,Hogwarts Professor,Half-blood,Non-binary,40.0,<=50 Galleons,59405,70605.0,18,No
63,Specialism in a magical field,Married,Goblin Liaison Officer,Half-blood,Male,38.0,<=50 Galleons,29383,46843.4,20,Yes
40,Hogwarts Graduate,Never-married,Other,Half-blood,Male,35.0,<=50 Galleons,58748,72774.4,16,No
67,Hogwarts Graduate,Married,Wandmaker,Half-blood,Female,30.0,>50 Galleons,83045,95559.0,42,No
52,Hogwarts Graduate,Widowed,Magical Transportation,Half-blood,Female,,<=50 Galleons,20691,32992.8,13,No
21,Specialism in a magical field,Divorced,Hogwarts Professor,Half-blood,Male,40.0,<=50 Galleons,68729,73130.20000000001,20,No
26,Specialism in a magical field,Never-married,Potioneer,Half-blood,Male,,<=50 Galleons,40372,52315.600000000006,17,Yes
34,Specialism in a magical field,Married,Magical Transportation,Half-blood,Male,40.0,<=50 Galleons,32767,50685.600000000006,16,Yes
44,Hogwarts Graduate,Never-married,Magical Librarian,Pureblood,Female,,<=50 Galleons,78618,78744.4,15,Yes
53,Hogwarts Graduate,Divorced,Gringotts Bank,Half-blood,Female,40.0,<=50 Galleons,24560,42564.0,23,No
27,Hogwarts Graduate,Divorced,Other,Half-blood,Female,45.0,<=50 Galleons,43545,64018.0,15,No
26,Hogwarts Graduate,Never-married,Hogwarts Professor,Muggle born,Male,,>50 Galleons,83926,82911.8,44,No
23,Specialism in a magical field,Never-married,Gringotts Bank,Muggle born,Female,24.0,<=50 Galleons,46600,56535.0,25,No
20,Specialism in a magical field,Never-married,Potioneer,Half-blood,Male,35.0,<=50 Galleons,48315,66133.0,-10000,Yes
33,Hogwarts Graduate,Married,Wandlore Assistant,Half-blood,Male,40.0,<=50 Galleons,68275,76302.0,26,No
32,Aurors Specialism,Married,Magical Intelligence Agent,Half-blood,Male,45.0,>50 Galleons,86152,88870.6,41,Yes
42,Specialism in a magical field,Divorced,Hogwarts Professor,Half-blood,Female,30.0,<=50 Galleons,67867,82699.6,15,No
32,Charms Scholar,Married,Wandmaker,Half-blood,Male,40.0,>50 Galleons,32520,44650.0,34,No
24,Dropout,Married,Potioneer,Half-blood,Male,,<=50 Galleons,3390,21123.0,13,No
31,Aurors Specialism,Never-married,Other,Half-blood,Female,40.0,<=50 Galleons,87460,93654.0,19,No
27,Specialism in a magical field,Never-married,Dark Forces Defense Consultant,Half-blood,Female,40.0,<=50 Galleons,81342,87613.6,17,No
35,Specialism in a magical field,Divorced,Ministry of Magic Official,Veiled Heritage,Male,40.0,<=50 Galleons,25642,48085.600000000006,16,No
56,Hogwarts Graduate,Married,Hogwarts Professor,Half-blood,Male,55.0,<=50 Galleons,71093,72237.4,14,No
22,Specialism in a magical field,Never-married,Magical Transportation,Half-blood,Female,35.0,<=50 Galleons,123,18153.4,18,No
33,Specialism in a magical field,Married,Magical Transportation,Half-blood,Male,42.0,<=50 Galleons,36374,54324.2,18,Yes
40,Hogwarts Graduate,Married,Magical Transportation,Half-blood,Male,30.0,<=50 Galleons,5748,24882.4,24,No
46,Hogwarts Graduate,Married,Magical Shop Owner,Half-blood,Male,40.0,<=50 Galleons,92727,100204.6,13,No
61,Specialism in a magical field,Married,Wandmaker,Half-blood,Male,40.0,>50 Galleons,56068,60293.4,41,Yes
40,Aurors Specialism,Never-married,Auror,Half-blood,Male,40.0,<=50 Galleons,9263,26539.4,17,Yes
30,Specialism in a magical field,Never-married,Wandlore Assistant,Half-blood,Male,35.0,<=50 Galleons,91053,99699.40000000001,19,No
35,Aurors Specialism,Married,Magical Intelligence Agent,Half-blood,Male,40.0,>50 Galleons,74428,77218.4,-10000,Yes
26,Specialism in a magical field,Never-married,Wandmaker,Muggle born,Female,40.0,<=50 Galleons,27782,38200.600000000006,27,No
61,Aurors Specialism,Married,Hogwarts Professor,Half-blood,Male,40.0,<=50 Galleons,58805,70222.0,23,Yes
41,Specialism in a magical field,Married,Potioneer,Half-blood,Male,,>50 Galleons,37382,50058.600000000006,43,Yes
46,Hogwarts Graduate,Divorced,Other,Half-blood,Male,25.0,<=50 Galleons,7455,30007.0,25,Yes
17,Hogwarts Graduate,Never-married,Hogwarts Professor,Pureblood,Female,,<=50 Galleons,4856,31941.8,14,Yes
25,Hogwarts Graduate,Married,Magical Shop Owner,Half-blood,Male,40.0,<=50 Galleons,84330,91011.0,18,No
55,Specialism in a magical field,Married,Other,Half-blood,Male,50.0,>50 Galleons,42349,57014.200000000004,34,Yes
28,Hogwarts Graduate,Married,Magical Transportation,Half-blood,Male,48.0,<=50 Galleons,81465,80983.0,19,No
21,Specialism in a magical field,Never-married,Gringotts Bank,Half-blood,Female,,<=50 Galleons,82353,92522.40000000001,16,No
38,Specialism in a magical field,Married,Wandmaker,Half-blood,Male,,<=50 Galleons,90433,91391.40000000001,25,No
50,Specialism in a magical field,Married,Goblin Liaison Officer,Half-blood,Male,40.0,<=50 Galleons,49766,66685.8,25,Yes
23,Specialism in a magical field,Never-married,Magical Shop Owner,Half-blood,Male,,<=50 Galleons,67289,81413.20000000001,14,Yes
52,Dropout,Married,Gringotts Bank,Half-blood,Male,60.0,>50 Galleons,85723,84972.40000000001,43,No
46,Specialism in a magical field,Divorced,Potioneer,Half-blood,Female,,<=50 Galleons,60591,69163.8,22,No
42,Charms Scholar,Married,Wandmaker,Half-blood,Male,50.0,>50 Galleons,88072,94362.6,34,No
23,Hogwarts Graduate,Never-married,Magical Shop Owner,Half-blood,Non-binary,40.0,<=50 Galleons,66374,81110.20000000001,28,No
17,Dropout,Never-married,Magical Shop Owner,Half-blood,Female,15.0,<=50 Galleons,11376,28155.800000000003,22,No
81,Hogwarts Graduate,Widowed,Other,Half-blood,Female,40.0,<=50 Galleons,40408,58806.4,26,No
24,Aurors Specialism,Never-married,Ministry of Magic Official,Half-blood,Female,,<=50 Galleons,64025,68966.0,22,No
57,Specialism in a magical field,Married,Potion Ingredients Supplier,Half-blood,Male,,>50 Galleons,87771,92848.8,44,Yes
41,Hogwarts Graduate,Married,Magical Shop Owner,Half-blood,Male,40.0,<=50 Galleons,15735,36130.0,25,No
57,Aurors Specialism,Married,Hogwarts Professor,Half-blood,Male,40.0,>50 Galleons,60094,65389.200000000004,37,Yes
21,Hogwarts Graduate,Never-married,Hogwarts Professor,Half-blood,Male,48.0,<=50 Galleons,71386,86218.8,27,No
39,Hogwarts Graduate,Separated,Magical Shop Owner,Pureblood,Male,40.0,<=50 Galleons,74162,85865.6,14,Yes
59,Dropout,Married,Wandlore Assistant,Half-blood,Male,30.0,<=50 Galleons,65147,76217.6,28,No
39,Dropout,Married,Magical Shop Owner,Veiled Heritage,Female,40.0,<=50 Galleons,69265,80630.0,26,No
44,Aurors Specialism,Married,Dark Forces Defense Consultant,Half-blood,Male,40.0,>50 Galleons,70438,82420.4,44,Yes
21,Aurors Specialism,Never-married,Dark Forces Defense Consultant,Half-blood,Female,20.0,<=50 Galleons,35928,53675.4,26,Yes
27,Specialism in a magical field,Married,Magical Shop Owner,Half-blood,Male,80.0,<=50 Galleons,76902,88508.6,25,No
25,Aurors Specialism,Never-married,Potioneer,Half-blood,Male,50.0,<=50 Galleons,31568,46689.4,23,Yes
38,Specialism in a magical field,Never-married,Potion Ingredients Supplier,Pureblood,Female,30.0,<=50 Galleons,69404,83313.20000000001,19,Yes
45,Specialism in a magical field,Divorced,Magical Transportation,Pureblood,Female,35.0,<=50 Galleons,38494,46857.2,20,Yes
46,Hogwarts Graduate,Never-married,Magical Librarian,Half-blood,Male,48.0,<=50 Galleons,78013,81799.4,14,No
46,Aurors Specialism,Married,Auror,Half-blood,Male,50.0,<=50 Galleons,68518,73170.4,15,Yes
44,Hogwarts Graduate,Never-married,Magical Shop Owner,Half-blood,Female,20.0,<=50 Galleons,6378,21141.4,18,No
43,Hogwarts Graduate,Married,Hogwarts Professor,Pureblood,Female,,>50 Galleons,68467,84104.6,38,Yes
20,Specialism in a magical field,Never-married,Magical Transportation,Half-blood,Male,40.0,<=50 Galleons,81516,93870.8,27,Yes
52,Specialism in a magical field,Never-married,Magical Transportation,Muggle born,Non-binary,40.0,<=50 Galleons,7626,35654.8,14,No
39,Specialism in a magical field,Separated,Ministry of Magic Official,Muggle born,Male,40.0,<=50 Galleons,43761,59691.8,24,No
57,Hogwarts Graduate,Married,Potion Ingredients Supplier,Half-blood,Male,40.0,<=50 Galleons,19621,34020.8,26,No
17,Dropout,Never-married,Wandlore Assistant,Pureblood,Female,12.0,<=50 Galleons,41489,54611.200000000004,19,Yes
63,Hogwarts Graduate,Married,Potion Ingredients Supplier,Half-blood,Female,25.0,<=50 Galleons,68844,82158.20000000001,18,No
50,Aurors Specialism,Married,Potion Ingredients Supplier,Half-blood,Male,,<=50 Galleons,36254,56711.2,26,Yes
42,Hogwarts Graduate,Divorced,Magical Transportation,Half-blood,Female,,<=50 Galleons,28681,44343.8,24,No
56,Hogwarts Graduate,Married,Hogwarts Professor,Half-blood,Male,40.0,<=50 Galleons,43967,63443.6,22,No
30,Dropout,Never-married,Magical Shop Owner,Half-blood,Male,40.0,<=50 Galleons,81994,88633.2,13,No
31,Aurors Specialism,Married,Magical Intelligence Agent,Half-blood,Male,50.0,<=50 Galleons,12769,31870.2,24,Yes
40,Hogwarts Graduate,Separated,Wandlore Assistant,Half-blood,Female,,<=50 Galleons,58589,63796.200000000004,27,No
40,Specialism in a magical field,Married,Hogwarts Professor,Half-blood,Male,72.0,>50 Galleons,43584,58932.200000000004,30,Yes
44,Specialism in a magical field,Separated,Other,Half-blood,Male,55.0,<=50 Galleons,32335,51547.0,20,Yes
28,Specialism in a magical field,Never-married,Magical Shop Owner,Pureblood,Female,40.0,<=50 Galleons,47820,57435.0,21,Yes
33,Specialism in a magical field,Married,Magical Shop Owner,Half-blood,Male,40.0,>50 Galleons,56096,68908.8,39,Yes
64,Hogwarts Graduate,Widowed,Auror,Half-blood,Female,16.0,<=50 Galleons,20588,41775.4,19,No
45,Dropout,Never-married,Gringotts Bank,Half-blood,Female,20.0,<=50 Galleons,59090,77089.0,22,No
47,Specialism in a magical field,Married,Goblin Liaison Officer,Half-blood,Male,50.0,<=50 Galleons,17150,36529.0,24,Yes
39,Specialism in a magical field,Divorced,Potioneer,Half-blood,Female,50.0,>50 Galleons,64869,80258.20000000001,31,Yes
35,Specialism in a magical field,Married,Goblin Liaison Officer,Half-blood,Male,,<=50 Galleons,71904,78534.20000000001,21,Yes
24,Hogwarts Graduate,Never-married,Magical Shop Owner,Pureblood,Male,40.0,<=50 Galleons,12007,30205.6,23,Yes
41,Hogwarts Graduate,Never-married,Magical Transportation,Pureblood,Male,40.0,<=50 Galleons,15189,30453.2,15,Yes
73,Specialism in a magical field,Married,Magical Shop Owner,Half-blood,Male,15.0,<=50 Galleons,48940,59085.0,17,Yes
46,Hogwarts Graduate,Married,Other,Half-blood,Male,96.0,>50 Galleons,48709,64914.200000000004,37,Yes
79,Specialism in a magical field,Married,Magical Transportation,Half-blood,Male,,<=50 Galleons,48046,63427.8,13,No
43,Specialism in a magical field,Married,Wandmaker,Half-blood,Male,40.0,<=50 Galleons,32078,55439.4,24,Yes
30,Specialism in a magical field,Married,Ministry of Magic Official,Half-blood,Male,40.0,<=50 Galleons,49742,68064.6,18,Yes
52,Hogwarts Graduate,Widowed,Wandlore Assistant,Half-blood,Male,40.0,<=50 Galleons,47800,56172.0,21,Yes
48,Specialism in a magical field,Married,Ministry of Magic Official,Half-blood,Male,40.0,<=50 Galleons,90201,95487.8,19,Yes
44,Aurors Specialism,Divorced,Auror,Half-blood,Female,40.0,<=50 Galleons,63938,79798.4,15,No
59,Aurors Specialism,Divorced,Auror,Half-blood,Female,40.0,<=50 Galleons,65806,79161.8,22,No
34,Specialism in a magical field,Never-married,Other,Half-blood,Male,,<=50 Galleons,77211,85328.8,27,No
