,age,education,marital_status,occupation,bloodline,gender,hours_per_week,income_bracket,magical_artifact_possession_score,magical_artifact_power_level,number_of_spells_mastered,gringotts_approved_loan,income_bracket_numeric,number_of_spells_mastered_zscore
76,76,Aurors Specialism,Married,Hogwarts Professor,Half-blood,Male,10.0,<=50 Galleons,19597,42297.6,13,1,0,0.10824098278984998
77,57,Charms Scholar,Married,Wandmaker,Muggle born,Male,50.0,>50 Galleons,68117,81618.6,42,0,1,0.13303747936071378
78,29,Hogwarts Graduate,Married,Potioneer,Half-blood,Male,40.0,<=50 Galleons,21834,33558.2,24,0,0,0.11764655045466038
79,37,Hogwarts Graduate,Married,Gringotts Bank,Half-blood,Male,40.0,<=50 Galleons,11499,27952.2,25,0,0,0.11850160206055224
80,31,Hogwarts Graduate,Divorced,Ministry of Magic Official,Half-blood,Female,40.0,<=50 Galleons,29539,44124.2,13,0,0,0.10824098278984998
81,48,Dropout,Married,Hogwarts Professor,Half-blood,Male,50.0,>50 Galleons,67137,70065.6,33,0,1,0.12534201490768707
82,45,Specialism in a magical field,Married,Hogwarts Professor,Half-blood,Male,40.0,>50 Galleons,63282,74939.6,31,0,1,0.12363191169590337
83,33,Aurors Specialism,Married,Potioneer,Half-blood,Male,45.0,<=50 Galleons,19381,32493.800000000003,18,1,0,0.11251624081930925
84,38,Specialism in a magical field,Divorced,Wandmaker,Half-blood,Female,40.0,<=50 Galleons,4187,24732.6,18,0,0,0.11251624081930925
85,20,Hogwarts Graduate,Never-married,Potioneer,Half-blood,Female,23.0,<=50 Galleons,7080,31894.0,25,0,0,0.11850160206055224
86,46,Hogwarts Graduate,Widowed,Ministry of Magic Official,Half-blood,Female,40.0,<=50 Galleons,11920,30018.0,23,0,0,0.11679149884876852
87,24,Hogwarts Graduate,Never-married,Other,Half-blood,Male,40.0,<=50 Galleons,22234,33635.2,28,0,0,0.12106675687822781
88,68,Hogwarts Graduate,Widowed,Gringotts Bank,Half-blood,Female,16.0,<=50 Galleons,-6488,10825.6,20,0,0,0.11422634403109296
89,39,Aurors Specialism,Divorced,Gringotts Bank,Half-blood,Female,40.0,>50 Galleons,42780,57952.0,36,1,1,0.12790716972536265
90,47,Specialism in a magical field,Never-married,Gringotts Bank,Half-blood,Female,40.0,<=50 Galleons,11805,29869.0,16,0,0,0.11080613760752554
91,43,Specialism in a magical field,Married,Wandmaker,Half-blood,Female,50.0,>50 Galleons,40202,56950.600000000006,36,1,1,0.12790716972536265
92,53,Aurors Specialism,Married,Auror,Half-blood,Male,40.0,>50 Galleons,72400,85084.0,30,1,1,0.12277686009001151
93,24,Specialism in a magical field,Never-married,Magical Shop Owner,Half-blood,Female,45.0,<=50 Galleons,23818,37272.4,26,0,0,0.11935665366644409
94,23,Specialism in a magical field,Never-married,Other,Half-blood,Female,40.0,<=50 Galleons,90204,98869.2,24,0,0,0.11764655045466038
95,38,Hogwarts Graduate,Divorced,Magical Shop Owner,Half-blood,Female,40.0,<=50 Galleons,48581,57999.8,23,0,0,0.11679149884876852
96,30,Aurors Specialism,Never-married,Wandlore Assistant,Pureblood,Male,40.0,<=50 Galleons,13569,38269.2,26,1,0,0.11935665366644409
97,23,Hogwarts Graduate,Never-married,Other,Muggle born,Female,40.0,<=50 Galleons,5995,20048.0,13,0,0,0.10824098278984998
98,40,Aurors Specialism,Married,Auror,Half-blood,Female,40.0,>50 Galleons,67170,79802.0,38,1,1,0.12961727293714637
99,62,Aurors Specialism,Married,Auror,Half-blood,Male,50.0,<=50 Galleons,39951,59854.8,21,1,0,0.11508139563698482
100,53,Specialism in a magical field,Divorced,Hogwarts Professor,Half-blood,Female,40.0,<=50 Galleons,2658,27743.4,15,0,0,0.10995108600163368
101,40,Hogwarts Graduate,Married,Other,Half-blood,Male,30.0,<=50 Galleons,12299,38363.2,17,0,0,0.11166118921341739
102,49,Specialism in a magical field,Divorced,Magical Shop Owner,Pureblood,Female,40.0,<=50 Galleons,44926,64230.8,20,1,0,0.11422634403109296
103,45,Specialism in a magical field,Never-married,Magical Shop Owner,Half-blood,Female,32.0,<=50 Galleons,29607,50679.600000000006,22,0,0,0.11593644724287668
104,59,Hogwarts Graduate,Widowed,Magical Shop Owner,Pureblood,Female,20.0,<=50 Galleons,39517,59173.600000000006,15,1,0,0.10995108600163368
105,37,Hogwarts Graduate,Never-married,Hogwarts Professor,Half-blood,Male,40.0,<=50 Galleons,85751,84803.8,28,0,0,0.12106675687822781
106,44,Specialism in a magical field,Married,Potioneer,Half-blood,Male,45.0,<=50 Galleons,-1395,21557.0,27,0,0,0.12021170527233595
107,26,Dropout,Married,Magical Shop Owner,Half-blood,Male,38.0,<=50 Galleons,63786,70143.8,22,0,0,0.11593644724287668
108,63,Charms Scholar,Married,Magical Librarian,Half-blood,Male,35.0,>50 Galleons,86165,86230.0,44,0,1,0.1347475825724975
109,51,Hogwarts Graduate,Married,Hogwarts Professor,Half-blood,Male,30.0,>50 Galleons,33556,45671.8,42,0,1,0.13303747936071378
110,29,Hogwarts Graduate,Married,Potioneer,Half-blood,Non-binary,40.0,<=50 Galleons,8284,32298.2,28,0,0,0.12106675687822781
111,25,Hogwarts Graduate,Never-married,Magical Shop Owner,Half-blood,Male,30.0,<=50 Galleons,2653,25022.4,21,0,0,0.11508139563698482
112,43,Aurors Specialism,Divorced,Magical Shop Owner,Half-blood,Male,60.0,<=50 Galleons,10836,26371.800000000003,23,1,0,0.11679149884876852
113,39,Specialism in a magical field,Divorced,Potioneer,Half-blood,Female,40.0,<=50 Galleons,37539,58614.2,13,0,0,0.10824098278984998
114,37,Hogwarts Graduate,Married,Gringotts Bank,Half-blood,Female,30.0,>50 Galleons,40632,60162.600000000006,34,0,1,0.12619706651357893
115,32,Aurors Specialism,Married,Auror,Half-blood,Male,40.0,<=50 Galleons,81458,92003.4,14,1,0,0.10909603439574182
116,47,Hogwarts Graduate,Married,Hogwarts Professor,Half-blood,Male,40.0,>50 Galleons,40713,58103.4,32,0,1,0.12448696330179522
117,28,Aurors Specialism,Never-married,Hogwarts Professor,Half-blood,Male,42.0,<=50 Galleons,19213,45271.4,19,1,0,0.11337129242520111
118,38,Hogwarts Graduate,Married,Gringotts Bank,Half-blood,Male,40.0,>50 Galleons,83419,88237.2,38,1,1,0.12961727293714637
119,19,Dropout,Never-married,Magical Shop Owner,Half-blood,Male,55.0,<=50 Galleons,74569,83867.20000000001,20,0,0,0.11422634403109296
120,38,Hogwarts Graduate,Married,Ministry of Magic Official,Pureblood,Male,40.0,<=50 Galleons,7332,30005.6,23,1,0,0.11679149884876852
121,47,Aurors Specialism,Never-married,Magical Librarian,Half-blood,Female,40.0,>50 Galleons,95095,103643.0,42,1,1,0.13303747936071378
122,69,Dropout,Divorced,Auror,Half-blood,Female,16.0,<=50 Galleons,-833,21286.6,26,0,0,0.11935665366644409
123,23,Specialism in a magical field,Never-married,Magical Shop Owner,Half-blood,Female,40.0,<=50 Galleons,33225,43223.0,14,0,0,0.10909603439574182
124,81,Dropout,Widowed,Potioneer,Half-blood,Male,45.0,<=50 Galleons,7442,28105.6,25,0,0,0.11850160206055224
125,21,Specialism in a magical field,Never-married,Potioneer,Half-blood,Female,38.0,<=50 Galleons,20969,38051.2,28,0,0,0.12106675687822781
126,64,Specialism in a magical field,Divorced,Hogwarts Professor,Half-blood,Female,8.0,<=50 Galleons,83756,94462.8,13,0,0,0.10824098278984998
127,37,Hogwarts Graduate,Married,Other,Half-blood,Male,40.0,<=50 Galleons,43056,59815.8,13,0,0,0.10824098278984998
128,18,Hogwarts Graduate,Never-married,Magical Transportation,Half-blood,Male,4.0,<=50 Galleons,15019,29492.2,17,1,0,0.11166118921341739
129,36,Hogwarts Graduate,Never-married,Other,Half-blood,Male,37.0,<=50 Galleons,24978,36624.4,20,0,0,0.11422634403109296
130,21,Specialism in a magical field,Never-married,Magical Transportation,Muggle born,Female,40.0,<=50 Galleons,4649,29427.2,15,0,0,0.10995108600163368
131,45,Hogwarts Graduate,Married,Magical Shop Owner,Half-blood,Male,52.0,>50 Galleons,91396,97646.8,31,0,1,0.12363191169590337
132,25,Hogwarts Graduate,Never-married,Magical Transportation,Half-blood,Female,40.0,<=50 Galleons,65220,73527.0,17,0,0,0.11166118921341739
133,44,Aurors Specialism,Married,Magical Intelligence Agent,Half-blood,Male,40.0,>50 Galleons,71834,84808.20000000001,36,1,1,0.12790716972536265
134,23,Dropout,Never-married,Hogwarts Professor,Half-blood,Non-binary,40.0,<=50 Galleons,59405,70605.0,18,0,0,0.11251624081930925
135,63,Specialism in a magical field,Married,Goblin Liaison Officer,Half-blood,Male,38.0,<=50 Galleons,29383,46843.4,20,1,0,0.11422634403109296
136,40,Hogwarts Graduate,Never-married,Other,Half-blood,Male,35.0,<=50 Galleons,58748,72774.4,16,0,0,0.11080613760752554
137,67,Hogwarts Graduate,Married,Wandmaker,Half-blood,Female,30.0,>50 Galleons,83045,95559.0,42,0,1,0.13303747936071378
138,52,Hogwarts Graduate,Widowed,Magical Transportation,Half-blood,Female,40.0,<=50 Galleons,20691,32992.8,13,0,0,0.10824098278984998
139,21,Specialism in a magical field,Divorced,Hogwarts Professor,Half-blood,Male,40.0,<=50 Galleons,68729,73130.20000000001,20,0,0,0.11422634403109296
140,26,Specialism in a magical field,Never-married,Potioneer,Half-blood,Male,40.0,<=50 Galleons,40372,52315.600000000006,17,1,0,0.11166118921341739
141,34,Specialism in a magical field,Married,Magical Transportation,Half-blood,Male,40.0,<=50 Galleons,32767,50685.600000000006,16,1,0,0.11080613760752554
142,44,Hogwarts Graduate,Never-married,Magical Librarian,Pureblood,Female,40.0,<=50 Galleons,78618,78744.4,15,1,0,0.10995108600163368
143,53,Hogwarts Graduate,Divorced,Gringotts Bank,Half-blood,Female,40.0,<=50 Galleons,24560,42564.0,23,0,0,0.11679149884876852
144,27,Hogwarts Graduate,Divorced,Other,Half-blood,Female,45.0,<=50 Galleons,43545,64018.0,15,0,0,0.10995108600163368
145,26,Hogwarts Graduate,Never-married,Hogwarts Professor,Muggle born,Male,40.0,>50 Galleons,83926,82911.8,44,0,1,0.1347475825724975
146,23,Specialism in a magical field,Never-married,Gringotts Bank,Muggle born,Female,24.0,<=50 Galleons,46600,56535.0,25,0,0,0.11850160206055224
148,33,Hogwarts Graduate,Married,Wandlore Assistant,Half-blood,Male,40.0,<=50 Galleons,68275,76302.0,26,0,0,0.11935665366644409
149,32,Aurors Specialism,Married,Magical Intelligence Agent,Half-blood,Male,45.0,>50 Galleons,86152,88870.6,41,1,1,0.13218242775482192
150,42,Specialism in a magical field,Divorced,Hogwarts Professor,Half-blood,Female,30.0,<=50 Galleons,67867,82699.6,15,0,0,0.10995108600163368
151,32,Charms Scholar,Married,Wandmaker,Half-blood,Male,40.0,>50 Galleons,32520,44650.0,34,0,1,0.12619706651357893
152,24,Dropout,Married,Potioneer,Half-blood,Male,40.0,<=50 Galleons,3390,21123.0,13,0,0,0.10824098278984998
153,31,Aurors Specialism,Never-married,Other,Half-blood,Female,40.0,<=50 Galleons,87460,93654.0,19,0,0,0.11337129242520111
154,27,Specialism in a magical field,Never-married,Dark Forces Defense Consultant,Half-blood,Female,40.0,<=50 Galleons,81342,87613.6,17,0,0,0.11166118921341739
155,35,Specialism in a magical field,Divorced,Ministry of Magic Official,Veiled Heritage,Male,40.0,<=50 Galleons,25642,48085.600000000006,16,0,0,0.11080613760752554
156,56,Hogwarts Graduate,Married,Hogwarts Professor,Half-blood,Male,55.0,<=50 Galleons,71093,72237.4,14,0,0,0.10909603439574182
157,22,Specialism in a magical field,Never-married,Magical Transportation,Half-blood,Female,35.0,<=50 Galleons,123,18153.4,18,0,0,0.11251624081930925
158,33,Specialism in a magical field,Married,Magical Transportation,Half-blood,Male,42.0,<=50 Galleons,36374,54324.2,18,1,0,0.11251624081930925
159,40,Hogwarts Graduate,Married,Magical Transportation,Half-blood,Male,30.0,<=50 Galleons,5748,24882.4,24,0,0,0.11764655045466038
160,46,Hogwarts Graduate,Married,Magical Shop Owner,Half-blood,Male,40.0,<=50 Galleons,92727,100204.6,13,0,0,0.10824098278984998
161,61,Specialism in a magical field,Married,Wandmaker,Half-blood,Male,40.0,>50 Galleons,56068,60293.4,41,1,1,0.13218242775482192
162,40,Aurors Specialism,Never-married,Auror,Half-blood,Male,40.0,<=50 Galleons,9263,26539.4,17,1,0,0.11166118921341739
163,30,Specialism in a magical field,Never-married,Wandlore Assistant,Half-blood,Male,35.0,<=50 Galleons,91053,99699.4,19,0,0,0.11337129242520111
165,26,Specialism in a magical field,Never-married,Wandmaker,Muggle born,Female,40.0,<=50 Galleons,27782,38200.600000000006,27,0,0,0.12021170527233595
166,61,Aurors Specialism,Married,Hogwarts Professor,Half-blood,Male,40.0,<=50 Galleons,58805,70222.0,23,1,0,0.11679149884876852
167,41,Specialism in a magical field,Married,Potioneer,Half-blood,Male,40.0,>50 Galleons,37382,50058.600000000006,43,1,1,0.13389253096660564
168,46,Hogwarts Graduate,Divorced,Other,Half-blood,Male,25.0,<=50 Galleons,7455,30007.0,25,1,0,0.11850160206055224
169,17,Hogwarts Graduate,Never-married,Hogwarts Professor,Pureblood,Female,40.0,<=50 Galleons,4856,31941.8,14,1,0,0.10909603439574182
170,25,Hogwarts Graduate,Married,Magical Shop Owner,Half-blood,Male,40.0,<=50 Galleons,84330,91011.0,18,0,0,0.11251624081930925
171,55,Specialism in a magical field,Married,Other,Half-blood,Male,50.0,>50 Galleons,42349,57014.2,34,1,1,0.12619706651357893
172,28,Hogwarts Graduate,Married,Magical Transportation,Half-blood,Male,48.0,<=50 Galleons,81465,80983.0,19,0,0,0.11337129242520111
173,21,Specialism in a magical field,Never-married,Gringotts Bank,Half-blood,Female,40.0,<=50 Galleons,82353,92522.4,16,0,0,0.11080613760752554
174,38,Specialism in a magical field,Married,Wandmaker,Half-blood,Male,40.0,<=50 Galleons,90433,91391.4,25,0,0,0.11850160206055224
175,50,Specialism in a magical field,Married,Goblin Liaison Officer,Half-blood,Male,40.0,<=50 Galleons,49766,66685.8,25,1,0,0.11850160206055224
176,23,Specialism in a magical field,Never-married,Magical Shop Owner,Half-blood,Male,40.0,<=50 Galleons,67289,81413.20000000001,14,1,0,0.10909603439574182
177,52,Dropout,Married,Gringotts Bank,Half-blood,Male,60.0,>50 Galleons,85723,84972.40000000001,43,0,1,0.13389253096660564
178,46,Specialism in a magical field,Divorced,Potioneer,Half-blood,Female,40.0,<=50 Galleons,60591,69163.8,22,0,0,0.11593644724287668
179,42,Charms Scholar,Married,Wandmaker,Half-blood,Male,50.0,>50 Galleons,88072,94362.6,34,0,1,0.12619706651357893
180,23,Hogwarts Graduate,Never-married,Magical Shop Owner,Half-blood,Non-binary,40.0,<=50 Galleons,66374,81110.20000000001,28,0,0,0.12106675687822781
181,17,Dropout,Never-married,Magical Shop Owner,Half-blood,Female,15.0,<=50 Galleons,11376,28155.800000000003,22,0,0,0.11593644724287668
182,81,Hogwarts Graduate,Widowed,Other,Half-blood,Female,40.0,<=50 Galleons,40408,58806.4,26,0,0,0.11935665366644409
183,24,Aurors Specialism,Never-married,Ministry of Magic Official,Half-blood,Female,40.0,<=50 Galleons,64025,68966.0,22,0,0,0.11593644724287668
184,57,Specialism in a magical field,Married,Potion Ingredients Supplier,Half-blood,Male,40.0,>50 Galleons,87771,92848.8,44,1,1,0.1347475825724975
185,41,Hogwarts Graduate,Married,Magical Shop Owner,Half-blood,Male,40.0,<=50 Galleons,15735,36130.0,25,0,0,0.11850160206055224
186,57,Aurors Specialism,Married,Hogwarts Professor,Half-blood,Male,40.0,>50 Galleons,60094,65389.2,37,1,1,0.1287622213312545
187,21,Hogwarts Graduate,Never-married,Hogwarts Professor,Half-blood,Male,48.0,<=50 Galleons,71386,86218.8,27,0,0,0.12021170527233595
188,39,Hogwarts Graduate,Separated,Magical Shop Owner,Pureblood,Male,40.0,<=50 Galleons,74162,85865.6,14,1,0,0.10909603439574182
189,59,Dropout,Married,Wandlore Assistant,Half-blood,Male,30.0,<=50 Galleons,65147,76217.6,28,0,0,0.12106675687822781
190,39,Dropout,Married,Magical Shop Owner,Veiled Heritage,Female,40.0,<=50 Galleons,69265,80630.0,26,0,0,0.11935665366644409
191,44,Aurors Specialism,Married,Dark Forces Defense Consultant,Half-blood,Male,40.0,>50 Galleons,70438,82420.4,44,1,1,0.1347475825724975
192,21,Aurors Specialism,Never-married,Dark Forces Defense Consultant,Half-blood,Female,20.0,<=50 Galleons,35928,53675.4,26,1,0,0.11935665366644409
193,27,Specialism in a magical field,Married,Magical Shop Owner,Half-blood,Male,80.0,<=50 Galleons,76902,88508.6,25,0,0,0.11850160206055224
194,25,Aurors Specialism,Never-married,Potioneer,Half-blood,Male,50.0,<=50 Galleons,31568,46689.4,23,1,0,0.11679149884876852
